id,Area,Cruise,Date,T_length,F_length,agebefore,peaks,ageafter,Oto_area,Oto_majorAxis,Oto_minorAxis,Oto_Perimeter,Oto_Length,Oto_Width,Oto_Weight,Mg24,Mg26,Mn55,Co59,Cu65,Zn66,Sr86,Sr87,Ba138,Pb208
O2,OR,Oregon,6/23/2011,199,184,4,2,2,7.956611156,3.936869144,2.70185113,12.57437229,4.414794922,3.057220459,0.006,-16.05267347,-5.811583395,0.390239399,-0.111684833,-0.312919149,-7.463698287,-899.7863163,-543.4610309,-0.538487607,-0.063387007
O4,OR,Oregon,6/23/2011,198,183,4,2,2,6.824503899,3.702563763,2.514331102,12.21994209,4.090942383,2.848987579,0.005,2.812037792,10.35362714,-0.007966403,0.015491233,-0.232160395,-9.838818207,-1738.372348,-268.7381519,0.260292213,-0.062961057
O6,OR,Oregon,6/23/2011,206,191,4,2,2,6.942435741,3.612983465,2.614863873,12.55757713,4.168701172,2.994506836,0.005,-13.25668526,-9.198837885,-0.06752533,-0.187278054,-0.155307597,-1.911513333,-1058.180242,-170.8539679,0.689862235,0.005538362
O8,OR,Oregon,6/23/2011,200,185,4,2,2,7.498888969,3.974615574,2.557541847,12.73571968,4.442382813,2.959030151,0.005,-16.82217711,-15.9385159,0.277865006,-0.199454319,-0.091640861,-4.755180474,-2031.339155,-599.7169759,-0.240862766,0.024623686
O9,OR,Oregon,6/23/2011,197,182,4,2,2,6.914391041,3.61655736,2.54695034,12.39721775,4.110961914,2.79510498,0.005,-12.6125418,-6.262169355,-0.102467489,-0.008862141,-0.397430357,-10.41163829,-1059.251438,-95.36613586,-0.738298851,-0.077990287
O10,OR,Oregon,6/23/2011,211,195,4,2,2,7.515624046,3.789615393,2.665843248,13.17637539,4.204101563,2.983520508,0.005,-15.98502269,-14.48494384,0.000495319,-0.178031027,-0.120159234,-2.663275753,-2321.105367,-697.8128949,-1.093150486,0.017149676
O11,OR,Oregon,6/23/2011,222,206,4,3,2,8.577800751,4.185941219,2.798703909,13.88025856,4.613479614,3.322387695,0.007,-26.05063077,-20.25419625,-0.116842347,0.00073842,-0.297078187,-8.645497722,-546.0236043,192.8113441,0.740028423,-0.041164016
O12,OR,Oregon,6/23/2011,201,186,5,2,2,7.235407829,3.912341833,2.509321451,12.47494316,4.389892578,2.738037109,0.005,11.16955759,18.14382199,0.481589148,0.007384628,-0.181756627,-4.840179001,-1692.637031,-174.3595539,-2.189602916,-0.073474785
O16,OR,Oregon,6/23/2011,200,185,4,2,2,6.920144558,3.642897129,2.54573679,12.07359314,3.980957031,2.778842926,0.005,23.54220059,27.38491592,0.210602201,-0.145145684,0.08606794,-4.485454123,-2329.547362,-698.2866229,1.052371974,0.052821185
O20,OR,Oregon,6/23/2011,229,212,4,3,2,8.538215637,4.041953564,2.872663975,13.81411076,4.612060547,3.100891113,0.007,-30.512804,-20.75753888,0.040542894,0.106441103,-0.249984689,-0.576555653,-1485.18104,-740.0621169,-0.403703319,-0.082789778
